24,178.7,56.22,17.317
28,161.4,33.86,0.929
33,180.5,27.78,0.18
37,147.4,40.67,1.479
43,216.5,51.92,11.116
37,192.9,45.01,5.409
34,136.1,37.76,2.558
67,282.4,101.8,29.115
22,105.6,23.47,0.828
61,296.3,60.6,2.95
50,191.4,47,0.541
42,238.1,47.87,0.613
47,290.2,48.49,1.193
12,65,26.97,5.283
41,193.2,40.85,43.569
75,348.4,63.35,6.63
45,254.9,57.38,0.401
44,222.2,72.17,1.47
29,151.1,26.2,0.871
42,182.1,84.48,1.289
48,209.7,46.62,11.746
51,258.5,71.79,3.523
36,227.2,62.58,8.851
38,199.9,70.25,4.945
83,284.7,73.18,0.609
52,253.9,62.03,8.08
87,358.3,82.49,0.264
50,216.9,51.31,6.638
63,265.7,74.36,4.917
80,290.6,88.68,10.421
31,145,40.56,0.238
38,156,51.43,1.474
51,218.6,119.02,2.054
63,284.2,69.9,2.325
52,243.4,73.74,7.446
19,96.8,28.59,5.721
44,200,48.58,5.318
56,251.4,59.11,2.614
49,243.6,68.56,24.709
64,350.4,57.81,1.228
63,306.9,43.77,2.328
30,141.1,43.77,0.842
48,243.5,52.41,1.824
24,118.6,40.34,5.939
17,67,30.33,0.317
61,181.3,82.08,2.663
43,149.5,68.1,0.664
42,188.1,38.39,6.526
61,242.3,46.59,0.105
55,217.3,72.1,0.106
50,228.7,64.66,22.865
68,262.9,57.71,1.598
61,243.1,93.3,0.104
48,242.5,58.66,0.159
29,165.5,43.8,1.756
30,224,46.24,3.172
66,305.1,87.15,3.318
61,271.9,99.85,9.911
43,179.8,50.55,3.296
38,175.4,32.7,1.791
63,274.9,89.88,9.629
60,197,53.53,43.879
43,191.6,74.22,2.082
42,221,45.92,1.394
47,194.3,83.13,9.496
54,266,51.82,0.935
48,259.2,44.11,0.216
45,249.3,71.03,1.705
45,235.5,39.58,2.889
24,83.9,44.49,2.489
51,210.6,67.86,0.374
56,293.5,62.53,0.817
60,283.6,61.92,0.722
29,144.9,71.01,8.379
52,252.7,55.92,1.644
45,252,53.39,5.298
59,269.8,52.97,4.908
54,212,51.17,1.498
61,260.1,58.78,0.102
40,183.2,80.05,3.447
40,219.6,47.13,5.749
63,296.4,58.56,0.647
27,146.2,35.61,1.95
33,164.1,54.79,1.031
18,89.6,22.19,25.666
35,171.7,56.11,1.91
56,259,46.16,2.716
59,207.3,64.82,0.415
23,121.2,22.93,0.664
34,190.6,53.08,0.261
46,206.8,67.26,5.966
37,231.4,41.7,4.973
49,245.7,64.03,0.577
51,215,63.17,152.111
25,121.6,50.64,7.939
40,177.7,53.14,3.676
36,179.5,62.88,35.425
66,325.6,69.46,0.05
31,142.6,37.07,1.745
19,109.4,31.98,1.927
38,242.8,47.73,2.699
15,95,33.97,0.421
43,228.4,53.28,4.425
32,135.4,36.33,0.072
86,329.1,82.01,2.35
65,297.9,96.14,3.863
40,183.2,46.42,1.881
52,177.5,51.98,3.454
15,64.8,35.76,0.636
38,214.4,51.44,4.561
46,187.1,52.06,1.14
58,366,54.74,0.166
38,122.4,34.43,1.256
74,342.8,80.44,0.789
34,162,42.72,0.43
49,198.2,64.48,4.266
56,268.7,44.9,2.125
45,180.6,77.57,1.365
60,309,76.55,0.879
49,227.6,40.2,24.731
28,103.7,53.02,11.619
34,107.3,39.93,1.506
80,321.9,87.51,2.277
31,184.6,46.52,19.336
45,214.7,44.98,29.461
54,245.5,30.87,10.455
